temp,light,acc_x1,acc_y1,acc_z1,acc_x2,acc_y2,acc_z2,acc_x3,acc_y3,acc_z3,acc_x4,acc_y4,acc_z4,acc_x5,acc_y5,acc_z5,acc_x6,acc_y6,acc_z6,acc_x7,acc_y7,acc_z7,acc_x8,acc_y8,acc_z8,acc_x9,acc_y9,acc_z9,acc_x10,acc_y10,acc_z10,acc_x11,acc_y11,acc_z11,acc_x12,acc_y12,acc_z12,acc_x13,acc_y13,acc_z13,acc_x14,acc_y14,acc_z14,acc_x15,acc_y15,acc_z15,acc_x16,acc_y16,acc_z16,acc_x17,acc_y17,acc_z17,acc_x18,acc_y18,acc_z18,acc_x19,acc_y19,acc_z19,acc_x20,acc_y20,acc_z20,acc_x21,acc_y21,acc_z21,acc_x22,acc_y22,acc_z22,acc_x23,acc_y23,acc_z23,acc_x24,acc_y24,acc_z24,acc_x25,acc_y25,acc_z25,acc_x26,acc_y26,acc_z26,acc_x27,acc_y27,acc_z27,acc_x28,acc_y28,acc_z28,acc_x29,acc_y29,acc_z29,acc_x30,acc_y30,acc_z30,acc_x31,acc_y31,acc_z31,acc_x32,acc_y32,acc_z32,acc_x33,acc_y33,acc_z33,acc_x34,acc_y34,acc_z34,acc_x35,acc_y35,acc_z35,acc_x36,acc_y36,acc_z36,acc_x37,acc_y37,acc_z37,acc_x38,acc_y38,acc_z38,acc_x39,acc_y39,acc_z39,acc_x40,acc_y40,acc_z40,acc_x41,acc_y41,acc_z41,acc_x42,acc_y42,acc_z42,acc_x43,acc_y43,acc_z43,acc_x44,acc_y44,acc_z44,acc_x45,acc_y45,acc_z45,acc_x46,acc_y46,acc_z46,acc_x47,acc_y47,acc_z47,acc_x48,acc_y48,acc_z48,acc_x49,acc_y49,acc_z49,acc_x50,acc_y50,acc_z50,acc_x51,acc_y51,acc_z51,acc_x52,acc_y52,acc_z52,acc_x53,acc_y53,acc_z53,acc_x54,acc_y54,acc_z54,acc_x55,acc_y55,acc_z55,acc_x56,acc_y56,acc_z56,acc_x57,acc_y57,acc_z57,acc_x58,acc_y58,acc_z58,acc_x59,acc_y59,acc_z59,acc_x60,acc_y60,acc_z60,acc_x61,acc_y61,acc_z61,acc_x62,acc_y62,acc_z62,acc_x63,acc_y63,acc_z63,acc_x64,acc_y64,acc_z64,acc_x65,acc_y65,acc_z65,acc_x66,acc_y66,acc_z66,acc_x67,acc_y67,acc_z67,acc_x68,acc_y68,acc_z68,acc_x69,acc_y69,acc_z69,acc_x70,acc_y70,acc_z70,acc_x71,acc_y71,acc_z71,acc_x72,acc_y72,acc_z72,acc_x73,acc_y73,acc_z73,acc_x74,acc_y74,acc_z74,acc_x75,acc_y75,acc_z75,acc_x76,acc_y76,acc_z76,acc_x77,acc_y77,acc_z77,acc_x78,acc_y78,acc_z78,acc_x79,acc_y79,acc_z79,acc_x80,acc_y80,acc_z80,acc_x81,acc_y81,acc_z81,acc_x82,acc_y82,acc_z82,acc_x83,acc_y83,acc_z83,acc_x84,acc_y84,acc_z84,acc_x85,acc_y85,acc_z85,acc_x86,acc_y86,acc_z86,acc_x87,acc_y87,acc_z87,acc_x88,acc_y88,acc_z88,acc_x89,acc_y89,acc_z89,acc_x90,acc_y90,acc_z90,acc_x91,acc_y91,acc_z91,acc_x92,acc_y92,acc_z92,acc_x93,acc_y93,acc_z93,acc_x94,acc_y94,acc_z94,acc_x95,acc_y95,acc_z95,acc_x96,acc_y96,acc_z96,acc_x97,acc_y97,acc_z97,acc_x98,acc_y98,acc_z98,acc_x99,acc_y99,acc_z99,acc_x100,acc_y100,acc_z100
40.71,34207.5,-11,-28,205,-14,-27,202,-12,-30,202,-12,-31,205,-12,-30,202,-13,-30,204,-14,-30,202,-13,-29,203,-14,-27,202,-14,-29,205,-14,-28,204,-14,-28,203,-14,-28,204,-14,-29,203,-13,-29,203,-11,-30,203,-13,-30,203,-13,-29,201,-12,-28,202,-14,-30,204,-13,-28,204,-16,-30,204,-7,-29,199,-24,-28,209,-10,-34,207,-13,-27,194,-14,-30,210,-12,-27,196,-11,-30,206,-15,-27,200,-10,-29,205,-13,-27,202,-14,-29,207,-16,-29,202,-10,-32,201,-17,-29,210,-13,-30,200,-14,-31,207,-15,-29,201,-12,-31,205,-13,-28,200,-10,-30,203,-15,-28,202,-13,-29,201,-13,-28,203,-14,-31,201,-15,-29,204,-12,-32,204,-14,-30,204,-15,-29,203,-15,-29,203,-15,-27,203,-14,-27,203,-12,-31,204,-13,-27,201,-13,-30,206,-12,-27,201,-12,-31,204,-13,-29,198,-12,-31,205,-12,-31,202,-14,-29,203,-13,-31,202,-14,-30,205,-13,-31,203,-15,-31,203,-13,-28,201,-13,-29,203,-14,-29,203,-14,-28,201,-13,-29,201,-12,-27,201,-14,-28,204,-14,-28,201,-13,-31,206,-14,-28,205,-16,-29,204,-15,-29,204,-14,-31,205,-14,-30,199,-14,-29,204,-12,-30,201,-14,-29,203,-13,-29,202,-13,-29,204,-12,-26,206,-13,-27,196,-16,-30,211,-11,-29,195,-17,-31,215,-16,-27,194,-14,-31,212,-12,-29,198,-16,-29,203,-12,-29,203,-12,-30,204,-12,-28,202,-13,-29,202,-11,-29,204,-11,-30,202
40.67,34203.33,-12,-30,202,-12,-30,203,-12,-31,202,-11,-30,205,-12,-31,205,-16,-29,202,-16,-29,202,-15,-29,204,-15,-28,203,-15,-27,204,-13,-29,203,-12,-28,204,-14,-28,201,-12,-28,203,-13,-28,201,-13,-29,203,-13,-29,201,-13,-29,204,-16,-28,202,-16,-28,203,-15,-28,202,-14,-30,204,-13,-30,203,-14,-32,203,-12,-30,204,-13,-30,204,-13,-28,202,-14,-27,204,-14,-28,200,-13,-29,204,-14,-27,201,-14,-29,205,-14,-29,201,-16,-29,204,-13,-29,204,-13,-30,206,-14,-28,204,-13,-28,204,-67,-41,203,-90,-44,70,158,-77,511,70,-81,109,-138,60,-19,-2,-66,333,66,9,270,-81,-12,169,-48,-18,189,-41,-19,278,-54,-41,257,-65,-51,201,-50,-41,201,7,-45,188,48,-46,170,17,-25,145,26,-35,187,38,-11,154,31,-18,210,-3,-5,208,-27,-4,190,-47,-19,240,-34,-25,234,-48,-47,239,-72,-37,204,-44,-61,227,-13,-59,209,-19,-41,189,-4,-39,195,18,-21,180,21,-14,190,17,-7,193,11,-4,183,4,-3,201,-7,-17,210,-31,-26,198,-40,-39,212,-31,-57,226,-42,-55,215,-49,-52,209,-27,-51,220,-6,-38,208,-11,-19,197,0,-13,198,16,-5,188,12,-2,191,4,-8,190,1,-18,190,-5,-28,197,-19,-41,207,-31,-46,205,-36,-48,214,-34,-50,228,-38,-38,214,-35,-29,212,-18,-23,213,-5,-17,203,-4,-12,191,7,-17,193,13,-21,191,11,-26,186,-3,-41,194
40.91,34199.16,2,-25,194,4,-26,189,8,-31,191,8,-33,192,-2,-30,191,-11,-32,204,-16,-30,207,-28,-27,211,-34,-27,219,-32,-28,218,-27,-31,212,-25,-34,211,-14,-33,204,-7,-31,195,-1,-31,196,2,-24,189,0,-24,194,-4,-22,198,-14,-21,197,-20,-26,210,-23,-29,214,-28,-30,212,-29,-35,216,-21,-38,211,-19,-35,206,-11,-35,200,-4,-32,198,-3,-25,193,-157,-27,164,-3,72,-16,186,-150,511,49,-2,36,-11,21,4,16,-151,505,-36,-9,236,-103,-23,176,-40,-17,247,-97,-27,271,-43,-38,245,-26,-10,153,-7,-55,236,17,-29,145,24,-52,167,41,-32,157,46,-35,186,30,-12,154,-2,-11,214,-10,-22,227,-41,-1,203,-50,-19,248,-55,-29,242,-60,-35,220,-63,-47,219,-28,-59,217,-10,-56,197,0,-46,191,16,-42,190,22,-22,178,17,-8,186,23,-9,197,7,1,183,-15,-4,212,-21,-20,208,-32,-29,213,-49,-41,217,-40,-61,222,-44,-57,214,-32,-57,213,-18,-49,216,-4,-33,195,-2,-16,198,13,-11,194,14,-2,183,4,3,186,11,-14,197,-2,-17,191,-22,-33,206,-21,-50,215,-37,-49,210,-41,-54,222,-38,-54,223,-34,-40,214,-28,-27,211,-9,-23,211,-2,-11,195,-1,-4,188,14,-16,196,9,-16,185,3,-23,189,1,-39,201,-11,-40,197,-25,-43,210,-28,-45,219,-36,-38,214,-39,-30,219,-32,-28,220,-23,-20,209,-17,-16,203,3,-22,191,6,-23,188
41.55,34194.16,-32,-27,211,-19,-33,211,-12,-29,202,-4,-29,194,2,-32,195,3,-28,190,2,-26,189,1,-28,199,-8,-23,198,-18,-22,202,-23,-28,214,-29,-27,214,-32,-30,214,-27,-35,216,-18,-33,203,-8,-35,204,-2,-32,195,-2,-24,190,1,-26,196,0,-22,196,-7,-20,195,-12,-26,206,-98,-6,142,37,87,-31,177,-154,511,8,24,118,-199,39,155,49,-99,349,-18,-24,216,-89,-11,216,-76,-47,278,-74,-21,165,-84,-30,265,3,-38,216,46,-7,127,45,-58,224,5,8,64,39,-45,175,59,-26,206,45,-5,131,-9,-16,231,-37,-8,199,-23,-20,223,-42,-35,277,-71,-20,208,-84,-40,232,-50,-46,220,-18,-63,233,-24,-38,175,2,-48,197,21,-26,180,43,-17,167,20,-12,191,16,-2,174,12,-3,190,-4,-10,215,-36,-14,205,-40,-34,219,-48,-44,227,-45,-55,229,-43,-56,216,-38,-53,219,-17,-45,208,-1,-31,194,2,-20,194,15,-7,183,19,-3,181,12,-4,190,3,-10,190,-4,-19,192,-21,-34,211,-28,-46,213,-39,-51,218,-44,-53,226,-41,-50,222,-35,-38,214,-26,-28,211,-8,-20,204,2,-12,193,6,-10,191,12,-13,189,15,-18,184,4,-26,193,-3,-33,196,-12,-39,200,-27,-44,214,-35,-44,216,-38,-39,214,-39,-35,223,-34,-30,218,-23,-23,206,-16,-20,204,-1,-21,200,7,-21,189,8,-22,190,9,-28,190,-4,-31,196,-14,-33,204,-23,-32,207,-33,-34,217
41.73,34150,3,-24,190,1,-25,197,-6,-24,196,-17,-27,207,-22,-31,214,-28,-31,212,-31,-34,217,-30,-35,217,-25,-35,209,-106,-52,127,82,12,253,151,-49,254,-19,-9,111,40,-94,336,-23,-29,259,-97,-35,208,-94,-37,302,-75,-20,157,-104,-50,239,-8,-66,290,34,-8,129,27,-67,244,-7,-2,98,36,-30,161,78,-24,205,47,-16,159,-14,-12,190,-9,-29,207,-35,-8,213,-35,-27,244,-66,-31,230,-80,-41,232,-55,-56,237,-38,-58,227,-34,-41,196,-1,-43,202,20,-31,193,32,-19,168,11,-6,182,22,-1,172,28,-5,191,3,-16,204,-29,-15,195,-34,-33,217,-34,-44,224,-51,-51,224,-55,-54,220,-43,-50,221,-24,-46,218,-14,-31,199,-2,-21,197,11,-12,188,17,-5,187,15,-3,183,10,-9,187,4,-19,191,-10,-30,204,-25,-39,206,-37,-45,215,-41,-49,225,-43,-49,222,-42,-43,219,-32,-34,214,-14,-25,208,-4,-17,195,3,-16,193,12,-15,189,17,-18,183,9,-22,188,2,-28,193,-8,-33,199,-22,-40,211,-32,-41,214,-39,-37,218,-41,-35,221,-37,-33,219,-29,-28,212,-18,-25,209,-5,-24,197,1,-22,191,6,-24,190,11,-27,188,8,-28,189,-1,-29,196,-9,-32,201,-21,-31,208,-31,-32,215,-34,-34,219,-36,-33,218,-33,-33,218,-25,-32,211,-16,-32,204,-6,-29,201,0,-28,194,5,-23,190,3,-24,193,-3,-23,196,-12,-27,204,-20,-28,210,-27,-31,214
41.63,34143.33,2,-21,192,-1,-21,195,-33,-30,198,-154,-80,125,138,45,193,140,-67,239,-166,-28,47,-100,-5,164,101,-79,377,-49,-35,220,-47,-49,251,-69,-45,260,-38,-32,243,-57,12,178,-28,-40,225,8,-24,154,31,-35,184,39,-38,177,35,-19,152,33,-18,168,23,-20,200,3,-20,195,-34,-12,212,-43,-26,228,-55,-25,229,-58,-36,236,-54,-52,237,-52,-47,215,-25,-49,208,-3,-47,209,5,-33,182,18,-24,178,24,-19,190,27,-8,180,8,-1,184,-1,-9,202,-11,-14,200,-32,-26,213,-43,-39,226,-46,-49,222,-47,-53,223,-41,-55,222,-26,-48,211,-13,-35,201,-1,-24,202,11,-14,186,13,-4,178,15,-6,190,10,-9,185,0,-16,190,-15,-28,205,-21,-39,208,-34,-44,215,-42,-50,225,-39,-50,222,-38,-40,215,-29,-34,216,-15,-26,204,-6,-14,194,5,-17,195,12,-15,189,12,-16,183,6,-23,193,2,-30,192,-9,-34,197,-22,-38,211,-28,-41,214,-39,-36,215,-41,-37,221,-34,-33,217,-30,-25,210,-19,-24,209,-5,-24,202,2,-21,191,5,-22,193,10,-27,192,5,-26,186,-2,-29,196,-7,-34,202,-22,-31,203,-29,-33,216,-31,-37,220,-35,-33,214,-33,-33,216,-24,-34,215,-16,-28,200,-8,-28,199,0,-28,197,3,-22,188,3,-24,192,3,-26,196,-4,-23,193,-17,-32,211,-27,-30,211,-29,-32,217,-28,-37,217,-28,-33,209,-20,-33,206,-14,-33,206,-7,-29,196
41.39,34073.33,-65,-32,290,-32,-46,303,-60,-14,225,-89,-60,227,-123,-25,184,-86,-6,91,-88,-17,118,-112,-8,146,209,-52,176,-66,1,82,-33,-30,86,-63,22,206,183,-37,210,47,18,175,-18,-27,170,-80,-1,195,7,-52,218,-22,-59,289,-80,-23,196,-85,-46,231,-34,-53,233,-25,-59,246,-42,-18,176,-3,-32,216,26,-14,175,38,-24,189,7,-8,171,7,-3,170,22,-12,185,3,-25,209,-33,-33,201,-44,-42,209,-39,-50,237,-32,-48,234,-53,-44,218,-53,-41,216,-15,-35,218,0,-25,203,-1,-13,191,3,-11,183,16,-13,174,20,-22,198,6,-17,185,-3,-23,190,-13,-35,212,-23,-42,217,-43,-41,214,-47,-39,219,-39,-40,225,-29,-39,216,-33,-32,212,-11,-26,199,5,-23,197,6,-20,193,7,-21,187,12,-21,184,7,-22,193,-1,-26,197,-17,-26,197,-28,-32,214,-32,-35,218,-41,-33,215,-42,-36,221,-32,-35,221,-23,-31,208,-15,-30,206,-3,-26,197,7,-24,188,5,-23,191,6,-23,190,5,-23,189,-2,-27,200,-12,-30,206,-24,-31,206,-31,-33,216,-34,-36,223,-35,-33,214,-33,-34,214,-22,-34,212,-14,-27,201,-7,-25,196,0,-26,195,6,-23,190,2,-21,192,1,-24,199,-4,-25,196,-14,-31,206,-20,-35,212,-25,-33,211,-30,-36,214,-26,-35,208,-20,-35,207,-13,-33,205,-5,-27,196,-4,-25,194,0,-26,198,-36,-29,186,-117,-30,112,145,-54,409,117,-83,137
41.45,34197.5,-21,-33,186,-7,-15,152,32,-38,178,60,-39,159,22,-34,192,6,-17,157,-4,-29,223,-43,-14,211,-64,-19,237,-49,-20,228,-42,-40,243,-54,-36,204,-29,-49,216,-4,-47,196,15,-41,188,13,-34,188,16,-21,172,11,-14,186,18,-13,196,-2,-8,193,-22,-14,204,-29,-21,213,-37,-32,222,-47,-39,218,-44,-52,222,-32,-55,216,-25,-50,211,-14,-42,206,1,-28,194,8,-19,193,12,-10,189,10,-5,187,4,-4,190,2,-17,201,-13,-22,200,-27,-33,206,-32,-45,218,-34,-49,217,-40,-50,217,-36,-47,218,-25,-37,210,-17,-26,207,-6,-18,199,2,-13,193,6,-12,189,9,-16,193,5,-19,188,-1,-27,194,-8,-35,202,-20,-40,204,-30,-41,209,-33,-42,219,-35,-38,214,-36,-31,215,-27,-29,213,-19,-21,208,-10,-19,199,-1,-21,197,5,-22,193,5,-23,190,3,-27,193,0,-31,195,-8,-32,199,-18,-34,208,-27,-33,211,-31,-32,212,-31,-33,220,-29,-32,214,-26,-29,210,-15,-31,207,-7,-29,200,-2,-27,193,1,-29,194,2,-26,191,0,-25,192,-3,-27,197,-10,-28,203,-19,-29,204,-25,-30,212,-27,-31,215,-30,-30,214,-26,-33,213,-21,-33,206,-14,-31,201,-6,-31,200,-2,-28,196,-1,-26,193,0,-27,196,-9,-25,200,-70,-41,218,-73,5,52,154,-74,511,86,-77,116,-204,46,70,-7,-83,272,55,-29,271,-49,-36,193,-78,-24,268,-53,-9,212,-100,-40,219
40.89,34074.16,-33,11,147,-33,11,147,-22,-29,249,-7,-31,234,-86,-25,215,-75,-49,230,-38,-59,241,-36,-43,199,-29,-46,208,13,-37,181,33,-31,196,26,-15,177,16,-5,170,8,7,174,26,-14,208,-12,-10,193,-46,-14,201,-33,-44,226,-43,-42,224,-46,-59,230,-54,-57,220,-36,-52,215,-14,-45,215,-6,-27,204,5,-17,188,12,-1,183,23,-5,191,11,-4,181,1,-7,184,0,-26,199,-13,-35,207,-35,-44,208,-42,-53,225,-37,-54,222,-42,-47,221,-41,-38,217,-23,-30,206,-10,-19,203,0,-14,196,8,-15,189,12,-11,182,15,-24,195,7,-26,187,-7,-33,193,-12,-40,204,-24,-42,212,-40,-36,210,-44,-36,226,-38,-32,220,-38,-23,215,-26,-22,212,-11,-23,206,-1,-19,195,4,-26,193,10,-28,188,5,-27,181,3,-36,199,-1,-34,202,-15,-31,188,-34,-37,230,-21,-34,203,-40,-25,230,-34,-31,202,-17,-34,215,-15,-27,206,-6,-30,193,-5,-25,205,5,-26,177,-2,-27,210,-1,-25,184,-16,-24,209,-6,-28,205,-16,-36,217,-31,-28,201,-26,-39,215,-22,-34,211,-22,-37,203,-20,-35,206,-10,-34,203,-8,-31,202,-9,-22,196,-3,-28,202,-5,-18,195,-8,-23,203,-12,-22,203,-17,-24,202,-17,-29,208,-25,-35,205,-20,-36,209,-17,-39,209,-23,-19,167,36,-44,243,-3,-30,190,-14,15,85,25,-51,261,22,-14,166,5,-30,220,-40,-14,216,-46,-22,223,-57,-35,260
42.25,34212.5,48,-16,155,48,-16,155,38,-13,172,5,-10,194,-25,-18,214,-60,-22,219,-64,-36,236,-60,-52,253,-62,-45,234,-32,-56,212,-15,-45,182,4,-37,211,10,-31,189,6,-1,196,-3,-5,191,2,-15,196,-3,-23,211,-17,-21,194,-19,-31,205,-19,-44,206,-27,-51,212,-32,-47,200,-23,-47,213,-14,-34,208,-11,-26,201,-8,-20,202,-4,-18,203,-5,-14,198,-8,-23,204,-17,-21,196,-16,-37,202,-17,-33,202,-18,-40,206,-20,-35,206,-13,-33,200,-14,-29,207,-11,-23,200,-10,-19,206,-14,-17,204,-15,-20,206,-14,-27,202,-15,-34,206,-15,-35,201,-12,-39,203,-15,-37,203,-13,-35,199,-10,-33,202,-13,-29,204,-11,-26,203,-11,-25,202,-12,-26,205,-14,-24,203,-12,-29,205,-15,-28,204,-16,-29,202,-14,-31,201,-16,-33,207,-16,-29,200,-15,-31,206,-14,-28,200,-18,-30,210,-8,-27,197,-15,-31,209,-15,-26,203,-13,-27,197,-17,-31,208,-15,-30,197,-16,-32,210,-15,-31,203,-17,-30,204,-14,-28,203,-17,-28,203,-17,-28,205,-15,-31,205,-15,-29,206,-15,-32,205,-14,-33,200,-13,-32,202,-16,-30,207,-15,-29,195,-14,-30,211,-8,-26,196,-4,-30,195,12,-28,163,56,-30,134,17,-22,187,-44,-16,237,-85,-7,250,-87,-10,254,-96,-31,298,-86,-12,218,-71,-36,217,-28,-45,249,18,-37,167,16,-53,186,-8,-35,159,3,-39,197,7,-25,195,1,-26,199,-9,-22,194
